k,itr,nb,nd,md,heap_factor,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
2000,3,400,150,70000,0.15,1340.73,1221,5.01732,1198.24,0.00260718,70000,154.741,839,44,0.899736,39.7885,22.8917,905.892
2000,3,400,150,70000,0.12,1340.73,1221,5.01732,1198.24,0.000869061,70000,154.741,839,45,0.899736,39.022,22.4507,906.451
2000,3,400,150,70000,0.1,1340.73,1221,5.01732,1198.24,0.000579374,70000,154.741,839,44,0.899736,38.544,22.1757,905.176
2000,3,400,150,80000,0.15,1340.73,1221,5.01732,1356.2,0.00318656,80000,155.923,839,45,0.923779,44.1301,25.3895,909.389
2000,3,400,150,80000,0.12,1340.73,1221,5.01732,1356.2,0.000869061,80000,155.923,839,44,0.923779,44.3688,25.5268,908.527
2000,3,400,150,80000,0.1,1340.73,1221,5.01732,1356.2,0.000579374,80000,155.923,839,46,0.923779,45.0281,25.9062,910.906
2000,3,400,120,60000,0.15,1340.73,1221,5.01732,1176.54,0.0023175,60000,153.391,839,50,0.891045,37.5209,21.587,910.587
2000,3,400,120,60000,0.12,1340.73,1221,5.01732,1176.54,0.000579374,60000,153.391,839,53,0.891045,36.5985,21.0563,913.056
2000,3,400,120,60000,0.1,1340.73,1221,5.01732,1176.54,0.000289687,60000,153.391,839,52,0.891045,36.5675,21.0385,912.038
2000,3,400,120,70000,0.15,1340.73,1221,5.01732,1353.36,0.00318656,70000,154.679,839,57,0.917261,44.4684,25.5842,921.584
2000,3,400,120,70000,0.12,1340.73,1221,5.01732,1353.36,0.000869061,70000,154.679,839,51,0.917261,43.2228,24.8675,914.867
2000,3,400,120,70000,0.1,1340.73,1221,5.01732,1353.36,0.000579374,70000,154.679,839,51,0.917261,42.9137,24.6897,914.69
2000,3,400,120,80000,0.15,1340.73,1221,5.01732,1531.48,0.00318656,80000,155.446,839,54,0.934121,48.9667,28.1722,921.172
2000,3,400,120,80000,0.12,1340.73,1221,5.01732,1531.48,0.000869061,80000,155.446,839,51,0.934121,49.1359,28.2695,918.269
2000,3,400,120,80000,0.1,1340.73,1221,5.01732,1531.48,0.000579374,80000,155.446,839,48,0.934121,44.8418,25.799,912.799
2000,3,400,100,60000,0.15,1340.73,1221,5.01732,1302.69,0.00260718,60000,153.1,839,45,0.903212,34.2149,19.685,903.685
2000,3,400,100,60000,0.12,1340.73,1221,5.01732,1302.69,0.000869061,60000,153.1,839,43,0.903212,33.9198,19.5152,901.515
2000,3,400,100,60000,0.1,1340.73,1221,5.01732,1302.69,0.000579374,60000,153.1,839,43,0.903212,33.5629,19.3098,901.31
2000,3,400,100,70000,0.15,1340.73,1221,5.01732,1500.55,0.00318656,70000,154.038,839,43,0.923113,39.1532,22.5262,904.526
2000,3,400,100,70000,0.12,1340.73,1221,5.01732,1500.55,0.000869061,70000,154.038,839,43,0.923113,39.2164,22.5625,904.562
2000,3,400,100,70000,0.1,1340.73,1221,5.01732,1500.55,0.000579374,70000,154.038,839,43,0.923113,39.2465,22.5798,904.58
2000,3,400,100,80000,0.15,1340.73,1221,5.01732,1699.45,0.00521437,80000,154.771,839,43,0.939876,44.9722,25.874,907.874
2000,3,400,100,80000,0.12,1340.73,1221,5.01732,1699.46,0.00202781,80000,154.771,839,43,0.939876,45.0797,25.9358,907.936
2000,3,400,100,80000,0.1,1340.73,1221,5.01732,1699.46,0.000869061,80000,154.771,839,43,0.939876,44.867,25.8135,907.813
2000,3,350,150,60000,0.15,1340.73,1221,5.01732,1011.69,0.00115875,60000,153.862,839,43,0.883485,33.9638,19.5405,901.54
2000,3,350,150,60000,0.12,1340.73,1221,5.01732,1011.69,0.000289687,60000,153.862,839,41,0.883485,32.9673,18.9672,898.967
2000,3,350,150,60000,0.1,1340.73,1221,5.01732,1011.69,0.000289687,60000,153.862,839,44,0.883485,32.9832,18.9763,901.976
2000,3,350,150,70000,0.15,1340.73,1221,5.01732,1165.48,0.00144844,70000,155.332,839,41,0.911718,38.2839,22.026,902.026
2000,3,350,150,70000,0.12,1340.73,1221,5.01732,1165.48,0.000289687,70000,155.332,839,41,0.911718,38.0458,21.889,901.889
2000,3,350,150,70000,0.1,1340.73,1221,5.01732,1165.48,0.000289687,70000,155.332,839,41,0.911718,38.3363,22.0562,902.056
2000,3,350,150,80000,0.15,1340.73,1221,5.01732,1319.49,0.00173812,80000,156.229,839,41,0.931175,43.5293,25.0438,905.044
